year,soil_treatment,stem_diameter,height,root_length
2015,Control,0.322,11.85,2.13
2015,Control,0.341,11.612,2.141
2015,Control,0.387,12.5,2.124
2016,Control,0.445,13.381,5.294
2016,Control,0.478,14.809,4.46
2016,Control,0.683,13.997,4.969
2017,Control,0.581,17.65,8.48
2017,Control,0.556,18.745,8
2017,Control,0.822,17.963,7.996
2015,PyCA,0.395,12.563,2.261
2015,PyCA,0.38,12.363,2.137
2015,PyCA,0.413,12.463,2.259
2016,PyCA,0.558,20.504,6.595
2016,PyCA,0.482,18.9,9.58
2016,PyCA,0.476,18.6,7.395
2017,PyCA,0.641,25.25,9.002
2017,PyCA,0.589,21,12.502
2017,PyCA,0.568,22.25,10.019
2015,PyCF,0.458,12.813,2.359
2015,PyCF,0.487,12.764,2.445
2015,PyCF,0.461,12.613,2.297
2016,PyCF,0.476,17.8,7.02
2016,PyCF,0.558,19.5,7.348
2016,PyCF,0.477,20.5,8.107
2017,PyCF,0.592,22.175,10.015
2017,PyCF,0.613,22.794,9.427
2017,PyCF,0.754,23.489,10.701